Date,LT_Foods_Return,NIFTY_50_Return,Risk_Free_Rate,Market_Risk_Premium,Beta_Calculation,Adjusted_Beta
2023-01-01,0.025,0.018,0.065,0.085,1.389,1.259
2023-01-02,0.018,0.012,0.065,0.085,1.500,1.333
2023-01-03,-0.008,-0.005,0.065,0.085,1.600,1.400
2023-01-04,0.032,0.022,0.065,0.085,1.455,1.364
2023-01-05,0.015,0.010,0.065,0.085,1.500,1.333
2023-01-06,-0.012,-0.008,0.065,0.085,1.500,1.333
2023-01-07,0.028,0.019,0.065,0.085,1.474,1.368
2023-01-08,0.020,0.014,0.065,0.085,1.429,1.333
2023-01-09,-0.015,-0.010,0.065,0.085,1.500,1.333
2023-01-10,0.035,0.024,0.065,0.085,1.458,1.364
2023-01-11,0.022,0.015,0.065,0.085,1.467,1.333
2023-01-12,-0.010,-0.007,0.065,0.085,1.429,1.333
2023-01-13,0.030,0.021,0.065,0.085,1.429,1.333
2023-01-14,0.018,0.012,0.065,0.085,1.500,1.333
2023-01-15,-0.008,-0.005,0.065,0.085,1.600,1.400
2023-01-16,0.025,0.017,0.065,0.085,1.471,1.333
2023-01-17,0.032,0.022,0.065,0.085,1.455,1.364
2023-01-18,-0.012,-0.008,0.065,0.085,1.500,1.333
2023-01-19,0.028,0.019,0.065,0.085,1.474,1.368
2023-01-20,0.015,0.010,0.065,0.085,1.500,1.333
2023-01-21,0.040,0.028,0.065,0.085,1.429,1.333
2023-01-22,-0.018,-0.012,0.065,0.085,1.500,1.333
2023-01-23,0.022,0.015,0.065,0.085,1.467,1.333
2023-01-24,0.035,0.024,0.065,0.085,1.458,1.364
2023-01-25,-0.010,-0.007,0.065,0.085,1.429,1.333
2023-01-26,0.030,0.021,0.065,0.085,1.429,1.333
2023-01-27,0.018,0.012,0.065,0.085,1.500,1.333
2023-01-28,0.025,0.017,0.065,0.085,1.471,1.333
2023-01-29,-0.015,-0.010,0.065,0.085,1.500,1.333
2023-01-30,0.032,0.022,0.065,0.085,1.455,1.364
2023-01-31,0.020,0.014,0.065,0.085,1.429,1.333
2023-02-01,0.028,0.019,0.065,0.085,1.474,1.368
2023-02-02,-0.008,-0.005,0.065,0.085,1.600,1.400
2023-02-03,0.035,0.024,0.065,0.085,1.458,1.364
2023-02-04,0.015,0.010,0.065,0.085,1.500,1.333
2023-02-05,0.025,0.017,0.065,0.085,1.471,1.333
2023-02-06,-0.012,-0.008,0.065,0.085,1.500,1.333
2023-02-07,0.030,0.021,0.065,0.085,1.429,1.333
2023-02-08,0.018,0.012,0.065,0.085,1.500,1.333
2023-02-09,0.040,0.028,0.065,0.085,1.429,1.333
2023-02-10,-0.010,-0.007,0.065,0.085,1.429,1.333
2023-02-11,0.032,0.022,0.065,0.085,1.455,1.364
2023-02-12,0.020,0.014,0.065,0.085,1.429,1.333
2023-02-13,0.028,0.019,0.065,0.085,1.474,1.368
2023-02-14,-0.015,-0.010,0.065,0.085,1.500,1.333
2023-02-15,0.035,0.024,0.065,0.085,1.458,1.364
2023-02-16,0.015,0.010,0.065,0.085,1.500,1.333
2023-02-17,0.025,0.017,0.065,0.085,1.471,1.333
2023-02-18,0.030,0.021,0.065,0.085,1.429,1.333
2023-02-19,-0.008,-0.005,0.065,0.085,1.600,1.400
2023-02-20,0.018,0.012,0.065,0.085,1.500,1.333
2023-02-21,0.032,0.022,0.065,0.085,1.455,1.364
2023-02-22,0.020,0.014,0.065,0.085,1.429,1.333
2023-02-23,0.028,0.019,0.065,0.085,1.474,1.368
2023-02-24,-0.012,-0.008,0.065,0.085,1.500,1.333
